stem,model_requested,model_resolved,status,refusal,error,input_tokens,output_tokens,est_cost_usd,timestamp,issuer_name_as_stated,extraction_reasoning,source_currency_unit,criminal_cases_against_count,regulatory_actions_against_count,tax_proceedings_against_count,total_litigation_against_amount_cr,contingent_liabilities_total_cr,going_concern_status,auditor_report_status,top5_customer_revenue_pct,top10_customer_revenue_pct
ACME_Solar_Holdings_Ltd_,gpt-5.6-luna,gpt-5.6-luna,ok,,,69599,658,0.0735,2026-07-20T16:45:39.107941+00:00,ACME Solar Holdings Limited,"The litigation table separates “By” and “Against” rows: I excluded all “By” rows and counted the “Against” rows for the Company, Directors, Promoters and Subsidiaries for criminal and statutory/regulatory actions, while tax proceedings were counted only for the Company and Subsidiaries. The resulting counts are criminal: 1 against Directors, 1 against Promoters and 2 against Subsidiaries; regulatory: 1 against the Company, 5 against Promoters and 14 against Subsidiaries; tax: 6 against the Company and 18 against Subsidiaries. For the aggregate amount against the Company and Subsidiaries, I used the stated quantified amounts of ₹6.95 million and ₹1,348.15 million, respectively, totaling ₹1,355.10 million, converted to ₹135.51 crore; promoter/director amounts and all “By” rows were excluded. The contingent-liabilities figure is the stated Total of ₹6,119.84 million as at June 30, 2024, converted to ₹611.984 crore, rather than a re-sum. The company-wide top-five and top-ten off-taker concentrations for the latest full fiscal year, Fiscal 2024, are 74.98% and 89.97%, respectively, calculated as percentages of revenue from operations; all source monetary tables use ₹ million, converted to crore by dividing by 10.",million,4,20,24,135.51,611.984,not_mentioned,caro_or_emphasis_of_matter_only,74.98,89.97
AGS_Transact_Technologies_Ltd_,gpt-5.6-luna,gpt-5.6-luna,ok,,,39072,754,0.0436,2026-07-20T16:45:45.307304+00:00,not stated,"The litigation tables distinguish matters “by” from matters “against”: I excluded all “By our Company,” “By our Subsidiaries,” “By our Directors,” and “By our Promoters” rows, and counted the against rows across all listed entities. Criminal proceedings against are 10 against the Company, 8 against Subsidiaries, 13 against Directors, and 12 against Promoters; statutory/regulatory actions against are 24, 28, 5, and 5 respectively; tax proceedings against the Company and Subsidiaries are 35 and 7, excluding promoter/director tax matters. The quantified aggregate against the Company and Subsidiaries is the sum of Company amounts of ₹2,904.66 million tax plus Subsidiary amounts of ₹1.83 million regulatory, ₹42.91 million tax, and ₹55.94 million civil, totalling ₹3,005.34 million, or ₹300.534 crore; “Not ascertainable or quantifiable” amounts were excluded. The contingent-liabilities figure uses the stated consolidated Total of ₹185.97 million as of August 31, 2021, converted to ₹18.597 crore rather than re-summing line items. The concentration disclosure is company-wide top 10 customers’ revenue from operations for full financial year 2021, at 62.8%; no company-wide top-five percentage is disclosed, and the source tables use ₹ millions, converted to crore by dividing by 10.",million,43,62,42,300.534,18.597,not_mentioned,caro_or_emphasis_of_matter_only,,62.8
ASK_Automotive_Ltd_,gpt-5.6-luna,gpt-5.6-luna,ok,,,66141,588,0.0697,2026-07-20T16:45:50.528584+00:00,ASK Automotive Limited,"The litigation table separates matters filed by and against each entity: I counted only the Against Company, Against Subsidiary, Against Directors and Against Promoters rows. Criminal proceedings against total 1 (0+0+1+0), statutory/regulatory actions against total 2 (2+0+0+0), and tax proceedings against the Company and Subsidiary total 5 (5+0); the Directors' 1 tax matter and Promoters' 1 tax matter were excluded from the company-group tax count, as were all By rows. The quantified amount against the Company and Subsidiary is the Company's stated ₹57.46 million aggregate, with no quantified amount against the Subsidiary; ₹57.46 million ÷ 10 = ₹5.746 crore. The contingent-liabilities figure is the stated consolidated Total of ₹2,800.00 million as of June 30, 2023, not a re-sum; ₹2,800.00 million ÷ 10 = ₹280.00 crore. The concentration disclosures are company-wide and use revenue from operations, but only top three customers are quantified (Fiscal 2023 top three 60.83%), so top-five and top-ten fields are null; all monetary tables use ₹ million.",million,1,2,5,5.746,280.0,not_mentioned,caro_or_emphasis_of_matter_only,,
Aadhar_Housing_Finance_Ltd_,gpt-5.6-luna,gpt-5.6-luna,ok,,,46110,643,0.05,2026-07-20T16:45:56.160601+00:00,Aadhar Housing Finance Limited,"The litigation table separates matters filed by versus against each category: I counted only the Against Company, Against Directors, Against Promoter and Against Subsidiary rows. Criminal proceedings against total 33 (32 against the Company plus 1 against Directors), statutory/regulatory proceedings against total 2 (1 against the Company plus 1 against Directors), and tax proceedings against the Company and Subsidiary total 16 (16 against the Company and nil against the Subsidiary); all By rows were excluded. The quantified aggregate amount against the Company is explicitly stated as ₹2,697.5 million; Directors and Subsidiary show no quantified amount, so this converts to ₹269.75 crore at 1 crore = ₹10 million. The contingent-liabilities figure is the stated consolidated-style Total of ₹143.6 million as of December 31, 2023, converted to ₹14.36 crore, rather than a re-sum. No company-wide top-five or top-ten customer revenue concentration percentage is disclosed; the only quantified concentrations relate to other measures such as state AUM and segment/customer information, not customers’ share of revenue from operations or total income. The source unit for the litigation and contingent-liability tables is ₹ million.",million,33,2,16,269.75,14.36,not_mentioned,caro_or_emphasis_of_matter_only,,
Aastha_Spintex_Ltd_,gpt-5.6-luna,gpt-5.6-luna,ok,,,44100,683,0.0482,2026-07-20T16:46:01.691798+00:00,Aastha Spintex Limited,"The litigation table separates By and Against matters and separately reports criminal, tax, and regulatory proceedings. I counted only Against rows: criminal proceedings are Nil for the Company, Promoters, Directors other than Promoters, Group Companies, and KMPs/SMPs, while the one criminal matter By Promoters was excluded; regulatory actions Against are Nil; tax proceedings Against the Company are 10, while the nine tax matters Against Promoters were excluded. The quantified aggregate against the Company and its subsidiaries is the Company Against amount of ₹38.03 lakhs; no subsidiary amount is separately disclosed, and promoter amounts and all By amounts are excluded. The contingent-liabilities figure is the stated Total of ₹239.31 lakhs as at December 31, 2025, not a re-sum. The company-wide customer concentration for the most recent full fiscal year, Fiscal 2025, is 51.66% for the top five and 59.94% for the top ten, measured against revenue from sale of products/revenue from operations; the separate 7 Seas figures were not used as customer concentration totals. Litigation and contingent-liability tables use lakhs, converted to crore by dividing by 100: ₹38.03 lakhs = ₹0.3803 crore and ₹239.31 lakhs = ₹2.3931 crore.",lakh,0,0,10,0.3803,2.3931,not_mentioned,not_mentioned,51.66,59.94
Abans_Holdings_Ltd_,gpt-5.6-luna,gpt-5.6-luna,ok,,,42106,849,0.0472,2026-07-20T16:46:08.754443+00:00,Abans Holdings Limited,"The litigation table separates matters filed by and against each category: all “By” rows were excluded. Against the company shows nil across categories; against directors has six tax proceedings but directors’ personal tax matters are excluded; against promoters has one disciplinary SEBI/stock-exchange matter, which is not counted as statutory/regulatory; against subsidiaries has eight tax proceedings and two statutory/regulatory proceedings, while the two disciplinary proceedings are excluded because they duplicate the regulatory matters; no criminal proceedings are shown against the relevant entities. The quantified amount against subsidiaries is ₹5.96 lakhs, with no quantified amount against the company, converting to ₹0.0596 crore; promoter/director and group-company amounts were excluded. Contingent liabilities are disclosed as ₹11,887.00 lakhs and ₹235.06 lakhs as of August 31, 2022; because no total row is shown, these were summed to ₹12,122.06 lakhs, or ₹121.2206 crore. The only customer-concentration percentages are segment-specific (finance, agency, and physical-commodities activities), not company-wide top-five/top-ten revenue percentages; the source tables use ₹ lakhs, converted to crore by dividing by 100.",lakh,0,2,8,0.0596,121.2206,not_mentioned,not_mentioned,,
Adani_Wilmar_Ltd_,gpt-5.6-luna,gpt-5.6-luna,ok,,,33424,753,0.0379,2026-07-20T16:46:14.381856+00:00,Adani Wilmar Limited,"The litigation tables split matters into “against” and “by” rows: I counted only against rows for the company, directors and promoters, while excluding all by-company, by-promoter and by-subsidiary rows. Criminal proceedings against total 10 (company 2 + directors 5 + promoters 3); regulatory/statutory actions against total 152 (company 151 + promoters 1); tax proceedings against the company total 30 (direct tax 5 + indirect tax 25), with no against-tax row disclosed for subsidiaries. The quantified amount against the company and subsidiaries is based on the company’s against rows only: ₹100.00 million + ₹10.00 million civil matters + ₹71.53 million direct tax + ₹667.18 million indirect tax = ₹848.71 million, or ₹84.871 crore; amounts in excluded promoter/director or by-party rows were not included. The contingent-liabilities figure is the stated consolidated “Total” of ₹2,443.08 million as at March 31, 2021, converted to ₹244.308 crore without re-summing line items. The only concentration percentages disclosed are for the edible oil business segment, not company-wide top-five/top-ten customers; no company-wide customer concentration percentage or denominator is disclosed. Litigation and contingent-liability tables use ₹ million, converted to crore by dividing by 100 (₹1 million = ₹0.1 crore).",million,10,152,30,84.871,244.308,not_mentioned,not_mentioned,,
Aditya_Birla_Sun_Life_AMC_Ltd_,gpt-5.6-luna,gpt-5.6-luna,ok,,,33180,768,0.0378,2026-07-20T16:46:20.676456+00:00,Birla Sun Life Asset Management Company Limited,"The litigation table separates criminal, tax, statutory/regulatory and other matters: the criminal rows are 2 matters involving ABREF, which is a scheme managed by the Company and not the Company, a subsidiary, promoter, director, KMP or SMP, and 9 criminal proceedings against the Directors; the tax row is 11 direct tax proceedings against the Company. No statutory/regulatory enforcement row against the Company, subsidiaries, promoters or directors is disclosed, and all rows involving ABREF or ABCL, including the ABCL tax matter, were excluded from the Company/group aggregate; no 'By' rows are present. The contingent-liabilities table is as of June 30, 2021 and gives Income tax matters of ₹328.43 million and Other matters of ₹8.42 million, but no stated Total row, so the total field is not extracted under the stated-total rule. No company-wide top-five or top-ten customer concentration percentage is disclosed; the 8.40% and 12.02% figures relate to distributors and are not customer revenue concentration. The source monetary unit is ₹ million; the quantified litigation amount of ₹72.77 million converts to ₹7.277 crore (72.77 ÷ 10), while the contingent-liability line items are not summed.",million,9,0,11,7.277,,not_mentioned,not_mentioned,,
Aditya_Infotech_Ltd_,gpt-5.6-luna,gpt-5.6-luna,ok,,,86041,526,0.0892,2026-07-20T16:46:25.663262+00:00,Aditya Infotech Limited,"The litigation table separates matters filed by versus against each entity: I counted only the “Against” rows, with criminal proceedings nil for the Company, subsidiaries, Directors, Promoters, KMPs and SMPs; statutory/regulatory proceedings nil throughout; and tax proceedings of 13 against the Company plus 2 against subsidiaries, excluding promoter/director tax matters and all “By” rows. The quantified aggregate amount against the Company and subsidiaries is ₹353.37 million plus ₹346.61 million, respectively, totaling ₹699.98 million, or ₹69.998 crore; this includes the quantified tax matters and excludes personal promoter/director matters. The contingent-liabilities table is dated March 31, 2025 and lists components but provides no stated Total row, so no total is extracted. Company-wide customer concentration for the most recent full fiscal year, Fiscal 2025, is 12.44% for the top five and 18.80% for the top ten, measured as a percentage of revenue from operations. Litigation and contingent-liability source tables use ₹ million; conversion is ₹ million ÷ 10 to crore.",million,0,0,15,69.998,,not_mentioned,caro_or_emphasis_of_matter_only,12.44,18.8
Advance_Agrolife_Ltd_,gpt-5.6-luna,gpt-5.6-luna,ok,,,49954,678,0.054,2026-07-20T16:46:31.527605+00:00,Advance Agrolife Limited,"The litigation table separates matters filed against the parties from matters filed by them: criminal proceedings against the Company (5), Promoters (1), and KMP/SMP (4) were counted, while the Company's 60 and Promoters' 1 proceedings by them were excluded; statutory/regulatory actions against all listed categories are shown as nil, and tax proceedings against the Company total 4, excluding the Directors' 3 personal tax matters. The quantified aggregate against the Company/group is the Company's direct and indirect tax amount of ₹3.33 million; the criminal amounts are not ascertainable and there is no quantified subsidiary amount, so ₹3.33 million was converted to ₹0.333 crore. The contingent-liabilities figure is the explicitly stated aggregate of ₹2.97 million as of Fiscal 2025, converted to ₹0.297 crore; the stated aggregate is used rather than summing the table lines. Company-wide customer concentration for the latest full fiscal year, Fiscal 2025, is 51.70% for the top five and 69.47% for the top ten, measured against revenue from operations. The source tables use ₹ millions, converted to crore by dividing by 10.",million,10,0,4,0.333,0.297,not_mentioned,caro_or_emphasis_of_matter_only,51.7,69.47
