stem,n_flags,flags,unit,criminal,regulatory,tax,litigation_cr,contingent_cr,reasoning
Adani_Wilmar_Ltd_,2,extreme_value; large_promoter_suspect,million,10.0,152.0,30.0,84.871,244.308,"The litigation tables split matters into “against” and “by” rows: I counted only against rows for the company, directors and promoters, while excluding all by-company, by-promoter and by-subsidiary rows. Criminal proceedings against total 10 (company 2 + directors 5 + promoters 3); regulatory/statutory actions against total 152 (company 151 + promoters 1); tax proceedings against the company total"
Angel_Broking_Ltd_,2,extreme_value; large_promoter_suspect,million,178.0,1.0,8.0,53.156,297.396,"The litigation tables are headed “involving” the Company, Promoters, Subsidiaries, Directors and Group Companies, and contain no “By” rows; therefore I counted the listed entity rows as against matters, while keeping criminal, regulatory/statutory and tax categories separate. Criminal cases against all listed entities total 160 for the Company + 2 for Subsidiaries + 8 for Promoters + 8 for Directo"
Bharti_Hexacom_Ltd_,2,extreme_value; large_promoter_suspect,million,10.0,234.0,50.0,2405.5,275.3,"The litigation table separates matters filed by the Company or Promoter from matters against them: I excluded the “By our Company” criminal matter and all “By our Promoter” rows, and counted the “Against our Company” and “Against our Promoter” rows separately by category. Criminal proceedings against listed entities total 1 against the Company plus 9 against the Promoter = 10; statutory/regulatory"
Crizac_Ltd_,2,nonstandard_unit; no_litigation_table,not_stated,,,,,,"No litigation summary table is provided in the supplied risk section, so there are no against-versus-by rows to count and no criminal, regulatory, or tax proceedings to quantify; the narrative instead states that the Company, Promoters, Directors and Subsidiaries are currently not involved in legal proceedings. No contingent-liabilities table or stated total is disclosed, so no date-specific conti"
Dreamfolks_Services_Ltd_,2,nonstandard_unit; no_litigation_table,not_stated,,,,,,"The risk section contains no litigation summary table; Risk Factor 40 states that there are currently no outstanding legal proceedings involving the Company, Promoters, Directors, Subsidiary and Group Companies, but this is not a category-count table and provides no quantified amount. Accordingly, no criminal, statutory/regulatory, or tax rows were counted, and no aggregate litigation amount was d"
HDB_Financial_Services_Ltd_,2,extreme_value; large_promoter_suspect,million,475.0,31.0,14.0,101.17,787.74,"The litigation table separates matters filed by and against each entity: I excluded all “By the Company,” “By our Directors,” “By our Promoter,” and other “By” rows, and counted only the Against rows. Criminal proceedings counted are 87 against the Company, 13 against the Directors, 364 against the Promoter and 11 against Key Managerial Personnel, totaling 475; statutory/regulatory proceedings cou"
Hyundai_Motor_India_Ltd_,2,nonstandard_unit; extreme_value,mixed,4.0,2.0,136.0,6242.399,,"The litigation table separates matters filed by and against each party: I counted only the Against our Company, Against our Subsidiaries and Against our Directors rows—criminal 4, statutory/regulatory 2 and tax 134 plus 2 subsidiary tax proceedings—and excluded all By rows and promoter-personal matters. For the group litigation amount, I used the stated aggregate amounts of ₹62,413.94 million agai"
ICICI_Prudential_Asset_Management_Co_Ltd_,2,extreme_value; large_promoter_suspect,million,476.0,11.0,12.0,163.8,14.38,"The litigation table separates matters filed by (“By”) from matters against the relevant parties: I counted only the “Against” rows, namely criminal proceedings of 2 against the Company, 0 against Directors, 473 against Promoters, 0 against KMP and 1 against Senior Management, and statutory/regulatory proceedings of 2, 1, 8, 0 and 0 respectively; tax proceedings counted for the Company and its sub"
Life_Insurance_Corp_of_India,2,nonstandard_unit; extreme_value,mixed,37.0,1.0,67.0,74894.696,29406.751,"The litigation table separates matters by direction and category: against the Corporation are 37 criminal, 63 tax, 1 statutory/regulatory and no material civil proceedings; against subsidiaries are nil criminal, 4 tax, nil statutory/regulatory and nil civil proceedings. I excluded all “By the Corporation” rows, including 226 criminal and 3 civil matters, and counted the 1 statutory/regulatory row "
Nureca_Ltd_,2,nonstandard_unit; no_litigation_table,not_stated,,,,,,"The provided risk section contains no litigation summary table, so there are no against-vs-by rows to count and no criminal, regulatory, or tax proceedings to extract; the individual income-tax search operations described are not presented as a litigation-table count against the issuer or its subsidiaries. No contingent-liabilities table or stated Total is disclosed, so no contingent-liabilities f"
Nuvoco_Vistas_Corp_Ltd_,2,extreme_value; large_promoter_suspect,million,387.0,426.0,221.0,1387.404,1948.101,"The litigation summary has no separate “By ...” rows or directional split; I therefore counted the listed Company and Subsidiary rows as proceedings against the group: criminal 277 + 110, statutory/regulatory actions 421 + 5, and direct/indirect tax proceedings 210 + 11, while excluding promoter and director rows. The quantified aggregate against the Company and Subsidiary is taken from the stated"
Signatureglobal__India__Ltd_,2,extreme_value; large_promoter_suspect,million,0.0,245.0,36.0,31.399,20.228,"The litigation table separates matters filed by versus against each entity. I counted only the Against rows: criminal proceedings are Nil for the Company, Directors, Subsidiaries, Promoters/promoter company and Group Companies (0); statutory/regulatory proceedings against the Company, Directors, Subsidiaries, Promoters/promoter company and Group Companies are 36 + 1 + 195 + 13 + 0 = 245; and tax p"
Tarsons_Products_Ltd_,2,nonstandard_unit; no_litigation_table,not_stated,,,,,,"No litigation summary table is disclosed in the provided risk section, so there are no against-vs-by rows to count; criminal, statutory/regulatory enforcement, and tax proceedings are therefore all not disclosed, and no quantified aggregate amount against the company or subsidiaries is available. No contingent-liabilities table or stated total is provided, so the contingent-liabilities figure and "
