stem,model_requested,model_resolved,status,refusal,error,input_tokens,output_tokens,est_cost_usd,timestamp,issuer_name_as_stated,extraction_reasoning,source_currency_unit,criminal_cases_against_count,regulatory_actions_against_count,tax_proceedings_against_count,total_litigation_against_amount_cr,contingent_liabilities_total_cr,going_concern_status,auditor_report_status,top5_customer_revenue_pct,top10_customer_revenue_pct
Advance_Agrolife_Ltd_,gpt-5.6-luna,gpt-5.6-luna,ok,,,49954,583,0.0535,2026-07-17T14:43:38.521080+00:00,Advance Agrolife Limited,"The litigation summary reports 5 criminal proceedings against the Company, 1 against Promoters, and 4 against KMP/SMP, totaling 10 criminal cases against; the 60 criminal proceedings by the Company, 1 by Directors, and 1 by Promoters were excluded. Statutory/regulatory actions against all listed entities are shown as nil, so regulatory actions against count is 0; direct and indirect tax proceedings against the Company are 4, while promoter/director tax matters are excluded. The aggregate quantified amount against the Company and subsidiaries is the Company’s tax amount of ₹3.33 million, with criminal amounts not ascertainable and all “By” amounts excluded, converted at ₹10 million = ₹1 crore to ₹0.333 crore. The contingent-liabilities figure is the explicitly stated aggregate of ₹2.97 million as of Fiscal 2025, not a sum of the displayed line items, converted to ₹0.297 crore; the source tables use ₹ in millions. The company-wide top-five and top-ten customer concentrations are for Fiscal 2025 and are respectively 51.70% and 69.47% of revenue from operations.",million,10,0,4,0.333,0.297,not_mentioned,caro_or_emphasis_of_matter_only,51.7,69.47
Advance_Agrolife_Ltd_,gpt-5.6-terra,gpt-5.6-terra,ok,,,49954,548,0.1331,2026-07-17T14:43:45.374579+00:00,Advance Agrolife Limited,"The litigation summary is in ₹ million and separates matters against from matters by: criminal proceedings against are 5 for the Company, 0 for non-promoter Directors, 1 for Promoters, and 4 for KMP/SMP, while all criminal-by rows (60 Company, 1 Director and 1 Promoter) are excluded; statutory/regulatory-actions-against rows are nil. Tax proceedings are 4 against the Company (and no subsidiary is listed); promoter/director personal tax matters are excluded. The Company-only quantified litigation amount is ₹3.33 million for direct and indirect tax proceedings; criminal Company matters are not ascertainable, so the aggregate is ₹3.33 million ÷ 10 = ₹0.333 crore. Contingent liabilities are stated in the risk factor as aggregating ₹2.97 million as of Fiscal 2025; this stated aggregate, rather than a re-sum of the displayed line items, converts to ₹0.297 crore. Customer concentration is company-wide for Fiscal 2025, the latest full fiscal year, and uses revenue from operations as denominator: top five customers were 51.70% and top ten were 69.47%.",million,10,0,4,0.333,0.297,not_mentioned,caro_or_emphasis_of_matter_only,51.7,69.47
Advance_Agrolife_Ltd_,gemini-2.5-flash,gemini-2.5-flash,ok,,,50601,3583,0.0,2026-07-17T14:44:01.551155+00:00,Advance Agrolife Limited,"The litigation analysis sums criminal cases against the Company (5), Promoters (1), and KMP/SMP (4), for a total of 10 cases, as other entities' criminal cases were not listed or were 'by' cases. No regulatory actions against any party were quantified or listed. Tax proceedings were counted only for the Company (4 cases) as per Rule 5. The total quantified litigation amount against the Company and its subsidiaries is 0.333 crore, derived solely from the 3.33 million tax proceedings against the Company, as other amounts were 'Not ascertainable' or zero. The contingent liabilities figure of 0.297 crore is the explicitly stated aggregate of 2.97 million for Fiscal 2025. Customer concentration percentages are for Fiscal 2025, representing 51.70% for top 5 and 69.47% for top 10, both calculated as a percentage of company-wide revenue from operations. All monetary figures were originally stated in millions and converted to crore by dividing by 10 (e.g., 3.33 million / 10 = 0.333 crore).",million,10,0,4,0.333,0.297,not_mentioned,caro_or_emphasis_of_matter_only,51.7,69.47
Capillary_Technologies_India_Ltd_,gpt-5.6-luna,gpt-5.6-luna,ok,,,80796,598,0.0844,2026-07-17T14:44:05.931856+00:00,Capillary Technologies India Limited,"The litigation table separates matters by direction and category: against the Company (criminal Nil, tax 6, statutory/regulatory 2), against subsidiaries (criminal Nil, tax 5, statutory/regulatory Nil), against directors (criminal 4), and against promoters (tax 1); all 'By' rows were excluded, and the promoter tax matter was excluded from the company/subsidiary tax count. The quantified aggregate amount against the Company and subsidiaries is taken from the stated table amounts of ₹354.91 million and ₹11.33 million, respectively, totaling ₹366.24 million; the non-quantifiable matters were not added. Contingent liabilities are sourced from the stated bank-guarantees-outstanding figure of ₹3.91 million as of September 30, 2025, the latest date shown, rather than summed. Company-wide top-customer concentration for the most recent full fiscal year, Fiscal 2025, is 43.35% for the top five and 58.71% for the top ten, measured against revenue from operations. Litigation and contingent-liability tables use ₹ million; conversion to crore is by dividing by 10, so ₹366.24 million = ₹36.624 crore and ₹3.91 million = ₹0.391 crore.",million,4,2,11,36.624,0.391,not_mentioned,caro_or_emphasis_of_matter_only,43.35,58.71
Capillary_Technologies_India_Ltd_,gpt-5.6-terra,gpt-5.6-terra,ok,,,80796,588,0.2108,2026-07-17T14:44:12.203655+00:00,Capillary Technologies India Limited,"The litigation table separates matters filed by and against parties: all 'By' rows are nil and excluded; the 'Against' rows show 4 criminal proceedings against Directors, 2 statutory/regulatory proceedings against the Company, and no regulatory matters against the other listed entities. Tax proceedings against the Company are 6 and against Subsidiaries are 5, totaling 11; the Promoters' one tax matter is excluded because it is personal. The quantified group litigation amount uses the stated aggregate amounts against the Company of ₹354.91 million and against Subsidiaries of ₹11.33 million, totaling ₹366.24 million; unquantifiable Director and Promoter amounts are excluded. Contingent liabilities use the stated consolidated bank-guarantees-outstanding figure of ₹3.91 million as of September 30, 2025. The top-five and top-ten customer figures are company-wide for Fiscal 2025, use revenue from operations as denominator, and are 43.35% and 58.71%, respectively. The source tables use ₹ million, converted to crore by dividing by 10 (₹366.24 million = ₹36.624 crore; ₹3.91 million = ₹0.391 crore).",million,4,2,11,36.624,0.391,not_mentioned,caro_or_emphasis_of_matter_only,43.35,58.71
Capillary_Technologies_India_Ltd_,gemini-2.5-flash,gemini-2.5-flash,ok,,,82939,2573,0.0,2026-07-17T14:44:40.669763+00:00,Capillary Technologies India Limited,"Litigation data was extracted from Risk Factor 21. For criminal cases, only the 4 cases against directors were counted. For regulatory actions, the 2 cases against the company were counted. For tax proceedings, 6 cases against the company and 5 cases against subsidiaries were counted. The total aggregate amount for litigation against the company and subsidiaries, including tax proceedings, sums to ₹354.91 million (Company) + ₹11.33 million (Subsidiaries) = ₹366.24 million. Contingent liabilities were identified in Risk Factor 37 as 'Bank guarantees outstanding' of ₹3.91 million as of September 30, 2025. Customer concentration figures are for Fiscal 2025, presented as a percentage of 'Revenue from Operations' and are company-wide. The source currency unit is 'million' for monetary values, which were converted to 'crore' by dividing by 10. The auditor report status is 'caro_or_emphasis_of_matter_only' as the auditors included qualifications related to 'other legal and regulatory requirements' rather than a modified opinion on the financial statements themselves.",million,4,2,11,36.624,0.391,not_mentioned,caro_or_emphasis_of_matter_only,43.35,58.71
Yatharth_Hospital___Trauma_Care_Services_Ltd_,gpt-5.6-luna,gpt-5.6-luna,ok,,,50290,573,0.0537,2026-07-17T14:44:45.483602+00:00,Yatharth Hospital & Trauma Care Services Limited,"The litigation table reports criminal proceedings against the Company (2), other Directors (1), Promoters (2), and Subsidiaries (1), totaling 6; all “By” rows are nil and excluded. The statutory/regulatory and tax columns are nil for all against rows, so regulatory actions and tax proceedings against the company/subsidiaries are each 0; the quantified group amount includes ₹5.00 million against the Company and ₹0.74 million against Subsidiaries, while the ₹0.74 million against Promoters is excluded, giving ₹5.74 million = ₹0.574 crore. The contingent-liabilities figure is the stated consolidated “Total” of ₹2,358.44 million as at March 31, 2023, converted to ₹235.844 crore without re-summing line items. Concentration percentages disclosed relate to COVID-19 revenue and hospital/service segments, not company-wide top-five or top-ten customers; the relevant denominator is revenue from operations, with Fiscal 2023 the latest full fiscal period. Litigation and contingent-liability tables use ₹ million, converted to crore by dividing by 100 (₹1 million = ₹0.1 crore).",million,6,0,0,0.574,235.844,group_or_subsidiary_only,caro_or_emphasis_of_matter_only,,
Yatharth_Hospital___Trauma_Care_Services_Ltd_,gpt-5.6-terra,gpt-5.6-terra,ok,,,50290,698,0.1362,2026-07-17T14:44:52.899406+00:00,Yatharth Hospital & Trauma Care Services Limited,"The litigation table lists criminal proceedings against the Company (2), other directors (1), Promoters (2), and Subsidiaries (1), totaling 6; all statutory/regulatory and tax proceeding cells against the Company and Subsidiaries are shown as “-” and are counted as zero. The group-only quantified litigation amount is ₹5.00 million against the Company plus ₹0.74 million against Subsidiaries, or ₹5.74 million; Promoter personal matters and all “By” rows were excluded. Contingent liabilities use the explicitly stated Total of ₹2,358.44 million as at March 31, 2023, rather than a re-sum of the guarantee lines. The source tables use ₹ million, converted to crore by dividing by 10: ₹5.74 million = ₹0.574 crore and ₹2,358.44 million = ₹235.844 crore. No company-wide top-five or top-ten customer revenue concentration percentage is disclosed for a full fiscal year.",million,6,0,0,0.574,235.844,group_or_subsidiary_only,caro_or_emphasis_of_matter_only,,
Yatharth_Hospital___Trauma_Care_Services_Ltd_,gemini-2.5-flash,gemini-2.5-flash,ok,,,50691,2878,0.0,2026-07-17T14:45:07.193987+00:00,Yatharth Hospital & Trauma Care Services Limited,"The litigation table on page 55, titled ""A summary of outstanding matters,"" lists cases against various entities. I have counted six criminal proceedings against the Company, its Directors, Promoters, and Subsidiaries, zero regulatory actions against any party, and zero tax proceedings against the Company or Subsidiaries. The aggregate quantified amount for litigation against the Company and Subsidiaries is 5.00 million (for the Company) + 0.74 million (for Subsidiaries) = 5.74 million. Contingent liabilities are explicitly stated as 2,358.44 million as of March 31, 2023. No company-wide customer concentration percentages (top 5 or top 10) for the most recent full fiscal year were disclosed. All monetary figures are in ""₹ million"" and have been converted to ""₹ crore"" by dividing by 10.",million,6,0,0,0.574,235.844,group_or_subsidiary_only,not_mentioned,,
Akums_Drugs___Pharmaceuticals_Ltd_,gpt-5.6-luna,gpt-5.6-luna,ok,,,59830,705,0.0641,2026-07-17T14:45:16.479738+00:00,Akums Drugs and Pharmaceuticals Limited,"The litigation table separates matters by direction and category: I counted only the “Against our Company” and “Against the Subsidiaries” rows, excluding all “By” rows; criminal proceedings are Nil and 2 respectively, statutory/regulatory proceedings are 39 and 62, and tax proceedings are 16 and 31. For the quantified aggregate against the company and subsidiaries, I used the stated row amounts of ₹169.56 million and ₹855.37 million, totaling ₹1,024.93 million, and excluded promoter/director amounts and all matters filed by them. The contingent-liabilities figure is the stated Total of ₹886.22 million as of March 31, 2024, rather than a re-sum of its components. The only customer concentration disclosure is for the CDMO business segment—ten largest CDMO clients contributed 39.31% of CDMO revenue from operations in Financial Year 2024—so no company-wide top-five or top-ten percentage is reported. The source tables use ₹ millions; ₹1,024.93 million converts to ₹102.493 crore and ₹886.22 million converts to ₹88.622 crore.",million,2,101,47,102.493,88.622,not_mentioned,not_mentioned,,
